URL,company,location,title
https://www.indeed.com/rc/clk?jk=bf1379ad6c9201e5&fccid=f4f7c75667c03728,"
City of Orlando","Orlando, FL", Police
https://www.indeed.com/rc/clk?jk=0477e6320aba389e&fccid=f4f7c75667c03728,"
City of Orlando","Orlando, FL", Police
https://www.indeed.com/rc/clk?jk=00ffb92b97dc5445&fccid=44febd19aa990dbc,"
University of Central Florida","Orlando, FL",Law Enforcement Officer
https://www.indeed.com/rc/clk?jk=5c13b9d8a4ec3c47&fccid=95fcff06e59f4033,"
G4S","Orlando, FL 32817",Deployment Response / Disaster Recovery Security Officer
https://www.indeed.com/rc/clk?jk=5095e802411afe99&fccid=8ea81f5d716014e5,,"City of Saint Cloud, FL", Police
https://www.indeed.com/rc/clk?jk=d019c8100b16ac2a&fccid=d97b64ef2d47fbac,,"Longwood, FL", Police
https://www.indeed.com/rc/clk?jk=e65e17963f2f023f&fccid=b0fe59bb1a307406,"
City of Winter Garden","Winter Garden, FL 34787", Police
https://www.indeed.com/company/The-Brantly-Corporation/jobs/Disaster-Response-Officer-543ae53c73983117?fccid=e63dd03cdb70ba2a,,"Orlando, FL 32806",Disaster Response Officer
https://www.indeed.com/company/City-of-Winter-Springs/jobs/Dispatcher-3dbad036fa428098?fccid=238ed50d298329ba,"
City of Winter Springs","Winter Springs, FL 32708",911 Dispatcher
https://www.indeed.com/company/Seminole-County-Sheriff-Office/jobs/Communication-Specialist-0e8b8b66438b9b7d?fccid=898a55a2d93267d6,,"Sanford, FL 32773",Communications Specialist
https://www.indeed.com/rc/clk?jk=22beb15dc0a33984&fccid=3d0047f3dac7c304,,"Orlando, FL",Loss Prevention Officer
https://www.indeed.com/rc/clk?jk=d478c175cf800a4f&fccid=4eb8bc9c996273ee,"
Windermere Preparatory School","Windermere, FL 34786",Manager of Security
https://www.indeed.com/rc/clk?jk=995687542458e02e&fccid=586ff15a77ff4338,"
Holiday Inn Club Vacations","Kissimmee, FL",Appliance Technician
https://www.indeed.com/company/New-Orleans-Police-Department/jobs/Police-Officer-4b9d86ca0b6c88b4?fccid=2da3024bc66f0cb7,"
New Orleans ","Orlando, FL", Police
https://www.indeed.com/rc/clk?jk=d12980bbda9ef2b6&fccid=7490ab3047cf1756,"
Paragon Systems, Inc.","Orlando, FL",FED Security Officer
"https://www.indeed.com/company/U.S.-Security-Associates,-Inc./jobs/Aviation-Security-Agent-c331667e146d9dc9?fccid=8483027369d48fe9","
U.S. Security Associates, Inc.","Orlando, FL 32822 ",Aviation Security Agent
https://www.indeed.com/rc/clk?jk=be7cc44d70a60883&fccid=8ea81f5d716014e5,,"City of Saint Cloud, FL",Communications Operator
https://www.indeed.com/rc/clk?jk=d0990f825036e1d1&fccid=95fcff06e59f4033,"
G4S","Orlando, FL 32817",Armed Security Officer
https://www.indeed.com/rc/clk?jk=3daac3eaaf72a916&fccid=210fc3a035da1704,"
Elite Wireless Group Inc - Cricket Wireless Dealer","Lake Mary, FL 32746",Wireless Assistant Sales Manager
https://www.indeed.com/rc/clk?jk=d7cb25e99e95302a&fccid=88f748bf5ce6ce9d,"
Engle Martin & Associates","Orlando, FL 32828",Senior Property Adjuster
https://www.indeed.com/company/Westgate-Resorts/jobs/Security-Officer-Shift-6447437554c14542?fccid=3242a4a2809a62af,"
Westgate Resorts","Orlando, FL",Security Officer
https://www.indeed.com/rc/clk?jk=94565939f21f1695&fccid=586ff15a77ff4338,"
Holiday Inn Club Vacations","Kissimmee, FL",General Maintenance Tech III
https://www.indeed.com/company/Admiral-Security-Services/jobs/Security-Officer-e70847fc81ff6e37?fccid=5cb0eb558623c70e,"
Admiral Security Services","Sanford, FL",Security Officer
https://www.indeed.com/rc/clk?jk=1eb019f73dc19940&fccid=d9e59e4d99667aa0,"
Superion","Lake Mary, FL 32746",Proposal Specialist II
https://www.indeed.com/rc/clk?jk=c099dd2a42182f05&fccid=d9e59e4d99667aa0,"
Superion","Lake Mary, FL 32746",Project Coordinator I
https://www.indeed.com/company/Admiral-Security-Services/jobs/Security-Officer-072f53577752bf6f?fccid=5cb0eb558623c70e,"
Admiral Security Services","Orlando, FL 32803 ",Security Officer
https://www.indeed.com/rc/clk?jk=6842d1f2e4ef9030&fccid=210fc3a035da1704,"
Elite Wireless Group Inc - Cricket Wireless Dealer","Sanford, FL",Assistant Sales Manager
